area_rank_desc,piece_id,name,material,quantity_per_bag,required_quality_area_rule,quality_assignment_rule,selected_area_cm2,selected_area_mm2,total_area_per_bag_cm2,raw_path_count,raw_path_areas_mm2_desc,xml_area_cm2,area_delta_cm2,bbox_width_mm,bbox_height_mm,xml_size_x_cm,xml_size_y_cm,source_index
1,U00484,COH2709 A 17-21__FLAP TOP,LB,1,Q1,area_rank_4_bins_Q1_Q2_Q3_Q4,818.23,81822.996,818.23,4,81822.996;2.0;2.0;2.0,818.23,-0.0,394.0,208.98,39.4,20.9,0
2,U00978,COH2709 A 10-21__FLAP TOP BIDNING,LB,1,Q1,area_rank_4_bins_Q1_Q2_Q3_Q4,501.7184,50171.84,501.7184,3,50171.84;2.0;2.0,501.72,-0.0016,1140.01,44.01,114.0,4.4,3
3,U00646,COH2709 A 21-21__BOTTOM,LB,1,Q1,area_rank_4_bins_Q1_Q2_Q3_Q4,359.3661,35936.606,359.3661,3,35936.606;2.0;2.0,359.36,0.0061,355.93,101.02,35.59,10.1,1
4,U00893,COH2709 A 9-21__GUSSET,LB,2,Q1,area_rank_4_bins_Q1_Q2_Q3_Q4,248.541,24854.103,497.082,4,24854.103;2.0;2.0;2.0,248.54,0.001,100.94,307.55,10.09,30.75,2
5,U01480,COH2709 A 15-21__FRONT HANDLE TOP,LB,1,Q1,area_rank_4_bins_Q1_Q2_Q3_Q4,198.2827,19828.27,198.2827,3,19828.27;2.0;2.0,198.28,0.0027,564.32,81.93,56.43,8.19,4
6,U01978,COH2709 A 20-21__BACK HANDLE TOP,LB,1,Q1,area_rank_4_bins_Q1_Q2_Q3_Q4,198.1571,19815.707,198.1571,3,19815.707;2.0;2.0,198.15,0.0071,564.31,81.9,56.43,8.19,5
7,U03332,COH2709 A 6-21__GUSSET LEFT RIGHT ANCHOR,LB,1,Q2,area_rank_4_bins_Q1_Q2_Q3_Q4,164.906,16490.604,164.906,6,16490.604;2.0;2.0;2.0;2.0;2.0,164.91,-0.004,145.87,113.05,14.59,11.31,9
8,U06569,COH2709 A 19-21__SS ANCHOR,LB,1,Q2,area_rank_4_bins_Q1_Q2_Q3_Q4,162.6994,16269.939,162.6994,6,16269.939;2.0;2.0;2.0;2.0;2.0,162.7,-0.0006,144.02,112.97,14.4,11.3,19
9,U04404,COH2709 A 2-21__FLAP FACING SNAP PATCH,LB,1,Q2,area_rank_4_bins_Q1_Q2_Q3_Q4,144.1159,14411.59,144.1159,10,14411.59;2.0;2.0;2.0;2.0;2.0;2.0;2.0,144.12,-0.0041,154.98,92.99,15.5,9.3,13
10,U02689,COH2709 A 11-21__BACK SLASH POCKET INTERIOR PATCH,LB,1,Q2,area_rank_4_bins_Q1_Q2_Q3_Q4,137.6883,13768.831,137.6883,3,13768.831;2.0;2.0,137.69,-0.0017,387.6,53.14,38.76,5.31,8
11,U05000,COH2709 A 16-21__BACK SNAP PATCH,LB,1,Q2,area_rank_4_bins_Q1_Q2_Q3_Q4,134.3811,13438.11,134.3811,10,13438.11;2.0;2.0;2.0;2.0;2.0;2.0;2.0,134.38,0.0011,150.99,89.0,15.1,8.9,14
12,U05434,COH2709 A 13-21__HANGTAG TOP,LB,1,Q3,area_rank_4_bins_Q1_Q2_Q3_Q4,79.8785,7987.85,79.8785,6,7987.85;2.0;2.0;2.0;2.0;2.0,79.88,-0.0015,122.89,65.0,12.29,6.5,15
13,U05866,COH2709 A 7-21__HANGTAG FACING,LB,1,Q3,area_rank_4_bins_Q1_Q2_Q3_Q4,79.8785,7987.85,79.8785,6,7987.85;2.0;2.0;2.0;2.0;2.0,79.88,-0.0015,122.89,65.0,12.29,6.5,16
14,U05956,COH2709 K 2-5__SS FLOATING SOLID GLUE FILLER,LB,1,Q3,area_rank_4_bins_Q1_Q2_Q3_Q4,72.7454,7274.54,72.7454,3,7274.54;2.0;2.0,72.75,-0.0046,214.02,33.99,21.4,3.4,17
15,U02457,COH2709 A 18-21__HANDLE LEFT FACING,LB,2,Q3,area_rank_4_bins_Q1_Q2_Q3_Q4,70.0802,7008.023,140.1604,3,7008.023;2.0;2.0,70.08,0.0002,211.51,75.95,21.4,4.05,7
16,U02211,COH2709 A 14-21__HANDLE RIGHT FACING,LB,2,Q3,area_rank_4_bins_Q1_Q2_Q3_Q4,70.0743,7007.434,140.1486,3,7007.434;2.0;2.0,70.07,0.0043,211.51,75.91,21.4,4.05,6
17,U06051,COH2709 A 12-21__LONG SS MOOR KEEPER,LB,1,Q4,area_rank_4_bins_Q1_Q2_Q3_Q4,67.3234,6732.34,67.3234,3,6732.34;2.0;2.0,67.32,0.0034,198.01,34.0,19.8,3.4,18
18,U03721,COH2709 A 4-21__FRONT RIGHT ANCHOR TOP,LB,1,Q4,area_rank_4_bins_Q1_Q2_Q3_Q4,56.18,5618.0,56.18,2,5618.0;2.0,56.18,0.0,53.0,106.0,5.3,10.6,12
19,U06697,COH2709 A 8-21__SHORT SS D RING ANCHOR,LB,1,Q4,area_rank_4_bins_Q1_Q2_Q3_Q4,44.0522,4405.22,44.0522,4,4405.22;2.0;2.0;2.0,44.05,0.0022,109.01,84.0,11.23,8.09,20
20,U03476,COH2709 A 5-21__FRONT WRAP SNAP,LB,4,Q4,area_rank_4_bins_Q1_Q2_Q3_Q4,12.1524,1215.241,48.6096,2,1215.241;2.0,12.15,0.0024,39.36,39.36,3.93,3.93,10
21,U03612,COH2709 A 3-21__BACK WRAP SNAP,LB,2,Q4,area_rank_4_bins_Q1_Q2_Q3_Q4,11.2659,1126.594,22.5318,2,1126.594;2.0,11.27,-0.0041,39.3,34.41,3.93,3.44,11
